url,type,entity,intent query,data file,gate status,source asset,canonical,index or noindex,inbound links planned
/,home,home,verified drops today,src/pages/index.astro,keep,repo page,/,index,"/daily/, /codes/, /cheats/"
/daily/,index,daily,daily reward links,src/pages/index.astro,keep,repo page,/daily/,index,/daily/<slug>/
/codes/,index,codes,redeem codes,src/pages/index.astro,keep,repo page,/codes/,index,/codes/<slug>/
/cheats/,index,cheats,cheat codes and console commands,src/pages/index.astro,keep,repo page,/cheats/,index,/cheats/<slug>/
/answers/,index,answers,answers and level sheets,src/pages/index.astro,keep,repo page,/answers/,index,/answers/<slug>/
/guides/,index,guides,process and explainers,src/pages/index.astro,keep,repo page,/guides/,index,/guides/<slug>/
/roblox/,index,roblox,roblox codes,src/pages/index.astro,keep,repo page,/roblox/,index,/codes/<slug>/
/games/,index,games,games index,src/pages/index.astro,keep,repo page,/games/,index,/codes/<slug>/
/blog/,index,blog,verification and change log,src/pages/index.astro,keep,repo page,/blog/,index,changed pages
/resources/,utility,resources,game codes cheats and answer resources,src/data/articles/resources.ts,keep,page-resources.md,/resources/,index,"/codes/, /daily/, /cheats/, /answers/, /guides/"
/about/,utility,about,about the site,src/data/articles/legal-pages.ts,keep,page-about.md,/about/,index,/resources/
/contact/,utility,contact,contact the editorial desk,src/data/articles/legal-pages.ts,keep,page-contact.md,/contact/,index,"/how-we-verify/, /resources/"
/how-we-verify/,utility,verify,how we verify,src/pages/index.astro,keep,repo page,/how-we-verify/,index,/codes/<slug>/
/privacy/,utility,privacy,privacy policy,src/data/articles/legal-pages.ts,keep,page-privacy-policy.md,/privacy/,index,/contact/
/terms-and-conditions/,utility,terms,terms and conditions,src/data/articles/legal-pages.ts,keep,page-terms-and-conditions.md,/terms-and-conditions/,index,/privacy/
/dmca/,utility,dmca,dmca policy,src/data/articles/legal-pages.ts,keep,page-dmca.md,/dmca/,index,"/contact/, /terms-and-conditions/"
/disclosure/,utility,disclosure,disclosure policy,src/data/articles/legal-pages.ts,keep,page-disclosure.md,/disclosure/,index,/contact/
/author/paul-a/,utility,author,paul a author page,src/pages/index.astro,keep,repo page,/author/paul-a/,index,/blog/
/submit,utility,submit,submit a code,src/pages/index.astro,keep,repo page,/submit,noindex,"/how-we-verify/, /contact/"
/alerts/,utility,alerts,alerts hub,src/pages/index.astro,keep,repo page,/alerts/,index,"/resources/, /privacy/"
/answers/100-pics-christmas-emoji/,answers,100-pics-christmas-emoji,100 pics christmas emoji answers,src/data/articles/traffic-answers.ts,keep,100-pics-christmas-emoji.md,/answers/100-pics-christmas-emoji/,index,"/answers/, /answers/guess-emoji-levels-1-10/"
/adblock-vs-adblock-plus-chrome-android-firefox-safari/,guides,adblock-vs-adblock-plus-chrome-android-firefox-safari,adblock vs adblock plus,C:/Users/harki/Downloads/freetinsbatch3markdown/adblock-vs-adblock-plus.md,remove,adblock-vs-adblock-plus.md,,noindex,outside the game-help architecture
/redeem-codes/roblox/adopt-me/,codes,adopt-me,adopt me codes,C:/Users/harki/Downloads/freetinsbatch3markdown/adopt-me-codes.md,keep,adopt-me-codes.md,/redeem-codes/roblox/adopt-me/,index,"/codes/, sibling entity pages, /how-we-verify/"
/guides/adventure-capitalist/,guides,adventure-capitalist,adventure capitalist guide,C:/Users/harki/Downloads/freetinsbatch3markdown/adventure-capitalist-cheats.md,hold,adventure-capitalist-cheats.md,/guides/adventure-capitalist/,noindex,rewrite as honest progression guidance before publishing
/adventure-capitalist-support-code/,guides,adventure-capitalist-support-code,adventure capitalist support code,C:/Users/harki/Downloads/freetinsbatch3markdown/adventure-capitalist-support-code.md,merge,adventure-capitalist-support-code.md,/guides/adventure-capitalist/,noindex,merge into planned guide; no legacy route shipped
/redeem-codes/afk-journey/,codes,afk-journey,afk journey codes,C:/Users/harki/Downloads/freetinsbatch3markdown/afk-journey-codes.md,keep,afk-journey-codes.md,/redeem-codes/afk-journey/,index,"/codes/, sibling entity pages, /how-we-verify/"
/ambigram-generator-examples/,guides,ambigram-generator-examples,ambigram generator,C:/Users/harki/Downloads/freetinsbatch3markdown/ambigram-generator.md,remove,ambigram-generator.md,,noindex,unrelated design utility topic
/amd-ryzen-rainmeter-skin-setup/,guides,amd-ryzen-rainmeter-skin-setup,amd ryzen rainmeter skin,C:/Users/harki/Downloads/freetinsbatch3markdown/amd-ryzen-rainmeter-skin.md,remove,amd-ryzen-rainmeter-skin.md,,noindex,outside the game-help architecture
/redeem-codes/among-us/,codes,among-us,among us cosmicube codes,C:/Users/harki/Downloads/freetinsbatch3markdown/among-us-codes.md,keep,among-us-codes.md,/redeem-codes/among-us/,index,"/codes/, sibling entity pages, /how-we-verify/"
