name,vol,sd,pos,bl,tier
basketball zero,301000,36.0,1,175.0,T1 flagship
volleyball legends,246000,38.5,1,742.0,T1 flagship
blue lock rivals,201000,38.0,1,414.0,T1 flagship
hunty zombies,165000,43.0,1,57.0,T1 flagship
type soul,165000,43.0,1,24.0,T1 flagship
sailor piece,135000,23.0,1,230.0,T1 flagship
cookie run kingdom,135000,35.0,1,,T1 flagship
99 nights in the forest,110000,29.0,5,107.0,T1 flagship
jujutsu infinite,110000,39.0,1,73.0,T1 flagship
azure latch,90500,39.0,1,28.0,T1 flagship
fruits battlegrounds,90500,32.25,1,36.0,T1 flagship
grow a garden,90500,26.25,1,10.0,T0 open goal
untitled boxing game,74000,28.5,1,188.0,T2 core
the forge,74000,42.0,1,48.0,T2 core
kaizen,60500,29.0,1,342.0,T2 core
jujutsu zero,60500,32.0,1,12.0,T0 open goal
mugen,60500,26.0,1,117.0,T2 core
dress to impress,60500,46.0,7,623.0,T2 core
universal tower defense,49500,38.0,4,30.0,T2 core
tennis zero,49500,24.0,3,2.0,T0 open goal
anime last stand,49500,33.0,1,315.0,T2 core
dandy world,49500,24.0,7,8.0,T0 open goal
anime final quest,49500,28.5,1,22.0,T2 core
anime card clash,49500,27.5,2,7.0,T0 open goal
flashpoint,49500,24.0,3,19.0,T2 core
fisch,40500,36.5,2,369.0,T2 core
rivals,40500,35.5,2,13.0,T0 open goal
sols rng,40500,25.0,2,5.0,T0 open goal
weak legacy 2,40500,25.0,1,5.0,T0 open goal
shindo life,33100,33.0,1,9.0,T0 open goal
anime ranger x,33100,30.0,1,19.0,T2 core
racket rivals,33100,25.0,1,112.0,T2 core
pixel blade,27100,28.5,3,11.0,T0 open goal
bizarre lineage,27100,24.5,6,13.0,T0 open goal
anime apocalypse,27100,24.0,2,28.0,T3 volume
clover retribution,27100,23.5,2,8.0,T0 open goal
devil hunters,27100,25.0,2,14.0,T0 open goal
vv ultimatum,22200,41.0,2,,T3 volume
spongebob tower defense,22200,29.0,2,15.0,T0 open goal
ninja time,22200,41.0,1,2.0,T0 open goal
king legacy,22200,42.0,1,41.0,T3 volume
anime guardians,22200,27.5,1,1.0,T0 open goal
dragon souls,22200,32.0,3,4.0,T0 open goal
soccer zero,22200,24.5,1,21.0,T3 volume
playground basketball,22200,28.0,3,9.0,T0 open goal
gta 5 cheat ps5,22200,37.0,5,,T3 volume
anime eternal,18100,24.0,1,14.0,T0 open goal
jump star,18100,31.5,8,8.0,T0 open goal
restaurant tycoon 3,18100,28.0,2,119.0,T3 volume
fix it up,14800,23.0,5,0.0,T0 open goal
slap,14800,25.0,1,7.0,T0 open goal
basketball legends,14800,25.0,2,5.0,T0 open goal
anime final strike,14800,25.0,1,3.0,T0 open goal
solo hunter,14800,28.0,4,8.0,T0 open goal
slime rng,14800,24.0,3,14.0,T0 open goal
ghoul re,14800,30.0,1,9.0,T0 open goal
garden tower defense,14800,23.5,2,21.0,T3 volume
jules rng,14800,24.0,1,3.0,T0 open goal
blade ball,14800,43.0,3,23.0,T3 volume
anime squadron,12100,34.0,2,4.0,T0 open goal
anime rail,12100,23.0,1,10.0,T0 open goal
dueling ground,12100,28.0,2,10.0,T0 open goal
da hood,12100,35.0,1,18.0,T3 volume
anime vanguard,12100,43.0,1,90.0,T3 volume
arcade basketball,12100,22.0,3,0.0,T0 open goal
knockout,12100,25.0,1,12.0,T0 open goal
jujutsu shenanigans,12100,35.5,4,2.0,T0 open goal
ink game,12100,21.0,3,0.0,T0 open goal
project blue lock,12100,24.5,1,5.0,T0 open goal
ro ghoul,12100,41.0,2,5.0,T0 open goal
driving empire,12100,26.0,1,17.0,T3 volume
parkour champion,9900,24.0,3,9.0,T3 volume
tower defense simulator,9900,27.0,3,2.0,T3 volume
star tower defense,9900,32.0,2,22.0,T3 volume
astdx,9900,39.0,3,22.0,T3 volume
anime paradox,9900,38.5,1,7.0,T3 volume
please donate,9900,26.0,6,3.0,T3 volume
plants vs brainrots,9900,25.0,7,12.0,T3 volume
anime spirit,8100,31.0,3,2.0,T3 volume
black grimoire,8100,23.0,2,12.0,T3 volume
catch a monster,8100,24.0,7,2.0,T3 volume
demon blade,8100,34.0,2,2.0,T3 volume
goalbound,8100,23.0,2,5.0,T3 volume
neo tenni,8100,23.0,2,6.0,T3 volume
jujutsu kaisen incremental,8100,23.0,1,14.0,T3 volume
geometry dash,8100,26.0,1,,T3 volume
slap battle,8100,33.0,1,3.0,T3 volume
project smash,8100,24.0,1,6.0,T3 volume
